순위,종목코드,종목명,현재가,대비,등락률,거래량,거래대금,시가,고가,저가,시가총액,시가총액비중(%),상장주식수,외국인 보유주식수,외국인 지분율(%),총카운트
1,005930,삼성전자,"55,400","-2,400","-4.2","30,343,822","1,707,233,634,644","57,600","57,600","55,300","330,725,953,270,000","17.85","5,969,782,550",,,2485
2,207940,삼성바이오로직스,"794,000","-15,000","-1.8","200,914","161,196,476,000","800,000","823,000","792,000","52,535,010,000,000","2.84","66,165,000",,,
3,000660,SK하이닉스,"71,800","-3,200","-4.3","7,245,274","524,109,223,000","74,400","74,400","71,300","52,270,569,807,000","2.82","728,002,365",,,
4,035420,NAVER,"305,500","-9,500","-3.0","1,185,779","368,822,285,000","315,000","319,000","302,500","50,182,467,172,500","2.71","164,263,395",,,
5,051910,LG화학,"667,000","-16,000","-2.3","838,981","567,269,002,000","681,000","697,000","662,000","47,085,092,781,000","2.54","70,592,343",,,
6,068270,셀트리온,"305,000","1,000","0.3","1,702,511","526,355,848,000","303,000","317,000","301,000","41,173,090,090,000","2.22","134,993,738",,,
7,005935,삼성전자우,"48,250","-1,850","-3.7","3,744,982","183,008,310,600","50,000","50,100","48,050","39,704,283,275,000","2.14","822,886,700",,,
8,005380,현대차,"155,000","-9,500","-5.8","3,606,101","571,534,896,500","163,000","165,500","154,000","33,118,568,985,000","1.79","213,668,187",,,
9,035720,카카오,"364,500","-12,000","-3.2","1,681,318","623,173,248,000","376,000","383,000","359,500","32,081,101,177,500","1.73","88,013,995",,,
10,006400,삼성SDI,"414,500","-20,000","-4.6","724,952","305,694,942,000","428,000","436,500","414,000","28,502,897,685,000","1.54","68,764,530",,,
11,051900,LG생활건강,"1,500,000","-19,000","-1.2","36,560","55,210,999,000","1,502,000","1,535,000","1,493,000","23,427,295,500,000","1.26","15,618,197",,,
12,028260,삼성물산,"114,500","-6,000","-5.0","975,313","113,134,669,500","118,500","119,500","114,500","21,398,570,774,500","1.16","186,887,081",,,
13,012330,현대모비스,"204,500","-12,500","-5.8","518,648","108,238,997,000","213,000","215,000","203,500","19,438,684,923,000","1.05","95,054,694",,,
14,017670,SK텔레콤,"227,500","-3,500","-1.5","673,516","154,930,166,000","233,500","236,500","226,500","18,369,649,252,500","0.99","80,745,711",,,
15,036570,엔씨소프트,"783,000","-58,000","-6.9","271,475","217,174,625,000","833,000","843,000","780,000","17,189,999,226,000","0.93","21,954,022",,,
16,005490,POSCO,"195,000","-6,000","-3.0","373,642","73,336,657,500","199,500","201,500","193,000","17,001,432,825,000","0.92","87,186,835",,,
17,000270,기아차,"40,250","-2,050","-4.8","2,609,623","107,446,209,800","41,850","43,150","39,850","16,315,874,716,750","0.88","405,363,347",,,
18,105560,KB금융,"36,450","-1,550","-4.1","2,373,043","87,629,105,950","38,100","38,100","36,300","15,156,198,684,000","0.82","415,807,920",,,
19,091990,셀트리온헬스케어,"99,800","-100","-0.1","2,621,462","265,334,382,100","99,200","104,000","99,100","15,145,610,275,600","0.82","151,759,622",,,
20,034730,SK,"209,500","-13,000","-5.8","395,588","84,529,058,500","221,000","223,000","209,000","14,740,482,221,500","0.80","70,360,297",,,
21,055550,신한지주,"30,250","-1,150","-3.7","1,789,351","54,752,229,650","31,050","31,400","30,200","14,441,254,258,750","0.78","477,396,835",,,
22,096770,SK이노베이션,"155,000","-9,000","-5.5","1,208,186","190,224,421,500","160,500","165,000","154,000","14,332,162,420,000","0.77","92,465,564",,,
23,066570,LG전자,"84,900","-100","-0.1","1,422,255","121,354,321,000","84,700","87,300","84,000","13,893,699,408,600","0.75","163,647,814",,,
